x,y,z,U_x,U_y,U_z
0.0003125,0.099063,0.005,-0.016001,0.246585,0.0
0.0009375,0.099063,0.005,-0.0254076,0.247967,0.0
0.0015625,0.099063,0.005,0.0626856,0.179524,0.0
0.0021875,0.099063,0.005,0.159012,0.13011,0.0
0.0028125,0.099063,0.005,0.240925,0.0961092,0.0
0.0034375,0.099063,0.005,0.309207,0.0719383,0.0
0.0040625,0.099063,0.005,0.366335,0.0548446,0.0
0.0046875,0.099063,0.005,0.414163,0.0427797,0.0
0.0053125,0.099063,0.005,0.454384,0.0341482,0.0
0.0059375,0.099063,0.005,0.488503,0.0278451,0.0
0.0065625,0.099063,0.005,0.517744,0.023144,0.0
0.0071875,0.099063,0.005,0.543059,0.019565,0.0
0.0078125,0.099063,0.005,0.565185,0.016786,0.0
0.0084375,0.099063,0.005,0.584697,0.0145874,0.0
0.0090625,0.099063,0.005,0.602047,0.0128183,0.0
0.0096875,0.099063,0.005,0.61759,0.0113727,0.0
0.0103125,0.099063,0.005,0.631607,0.0101751,0.0
0.0109375,0.099063,0.005,0.644326,0.00917073,0.0
0.0115625,0.099063,0.005,0.655931,0.00831925,0.0
0.0121875,0.099063,0.005,0.666571,0.00759033,0.0
0.0128125,0.099063,0.005,0.67637,0.00696089,0.0
0.0134375,0.099063,0.005,0.685433,0.0064131,0.0
0.0140625,0.099063,0.005,0.693845,0.00593302,0.0
0.0146875,0.099063,0.005,0.70168,0.0055096,0.0
0.0153125,0.099063,0.005,0.709,0.005134,0.0
0.0159375,0.099063,0.005,0.715859,0.00479908,0.0
0.0165625,0.099063,0.005,0.722303,0.00449901,0.0
0.0171875,0.099063,0.005,0.728373,0.00422898,0.0
0.0178125,0.099063,0.005,0.734102,0.00398503,0.0
0.0184375,0.099063,0.005,0.739521,0.00376384,0.0
0.0190625,0.099063,0.005,0.744659,0.0035626,0.0
0.0196875,0.099063,0.005,0.749538,0.00337898,0.0
0.0203125,0.099063,0.005,0.75418,0.00321095,0.0
0.0209375,0.099063,0.005,0.758604,0.00305679,0.0
0.0215625,0.099063,0.005,0.762826,0.00291505,0.0
0.0221875,0.099063,0.005,0.766863,0.00278443,0.0
0.0228125,0.099063,0.005,0.770728,0.00266384,0.0
0.0234375,0.099063,0.005,0.774434,0.00255231,0.0
0.0240625,0.099063,0.005,0.777991,0.002449,0.0
0.0246875,0.099063,0.005,0.781411,0.00235318,0.0
0.0253125,0.099063,0.005,0.784703,0.00226418,0.0
0.0259375,0.099063,0.005,0.787875,0.00218143,0.0
0.0265625,0.099063,0.005,0.790936,0.00210442,0.0
0.0271875,0.099063,0.005,0.793893,0.00203269,0.0
0.0278125,0.099063,0.005,0.796753,0.00196584,0.0
0.0284375,0.099063,0.005,0.799521,0.0019035,0.0
0.0290625,0.099063,0.005,0.802205,0.00184534,0.0
0.0296875,0.099063,0.005,0.804809,0.00179107,0.0
0.0303125,0.099063,0.005,0.807338,0.0017404,0.0
0.0309375,0.099063,0.005,0.809798,0.00169309,0.0
0.0315625,0.099063,0.005,0.812193,0.00164893,0.0
0.0321875,0.099063,0.005,0.814526,0.00160769,0.0
0.0328125,0.099063,0.005,0.816802,0.00156918,0.0
0.0334375,0.099063,0.005,0.819024,0.00153323,0.0
0.0340625,0.099063,0.005,0.821196,0.00149967,0.0
0.0346875,0.099063,0.005,0.823321,0.00146833,0.0
0.0353125,0.099063,0.005,0.825402,0.00143907,0.0
0.0359375,0.099063,0.005,0.827442,0.00141174,0.0
0.0365625,0.099063,0.005,0.829443,0.00138621,0.0
0.0371875,0.099063,0.005,0.831407,0.00136233,0.0
0.0378125,0.099063,0.005,0.833338,0.00133998,0.0
0.0384375,0.099063,0.005,0.835237,0.00131903,0.0
0.0390625,0.099063,0.005,0.837106,0.00129935,0.0
0.0396875,0.099063,0.005,0.838948,0.00128082,0.0
0.0403125,0.099063,0.005,0.840762,0.00126332,0.0
0.0409375,0.099063,0.005,0.842552,0.00124673,0.0
0.0415625,0.099063,0.005,0.844318,0.00123092,0.0
0.0421875,0.099063,0.005,0.846061,0.00121576,0.0
0.0428125,0.099063,0.005,0.847783,0.00120115,0.0
0.0434375,0.099063,0.005,0.849484,0.00118695,0.0
0.0440625,0.099063,0.005,0.851165,0.00117305,0.0
0.0446875,0.099063,0.005,0.852827,0.00115933,0.0
0.0453125,0.099063,0.005,0.854469,0.00114567,0.0
0.0459375,0.099063,0.005,0.856093,0.00113194,0.0
0.0465625,0.099063,0.005,0.857698,0.00111805,0.0
0.0471875,0.099063,0.005,0.859284,0.00110386,0.0
0.0478125,0.099063,0.005,0.860852,0.00108928,0.0
0.0484375,0.099063,0.005,0.862399,0.00107419,0.0
0.0490625,0.099063,0.005,0.863927,0.00105849,0.0
0.0496875,0.099063,0.005,0.865434,0.00104208,0.0
0.0503125,0.099063,0.005,0.86692,0.00102488,0.0
0.0509375,0.099063,0.005,0.868384,0.00100678,0.0
0.0515625,0.099063,0.005,0.869824,0.000987716,0.0
0.0521875,0.099063,0.005,0.87124,0.000967611,0.0
0.0528125,0.099063,0.005,0.872631,0.0009464,0.0
0.0534375,0.099063,0.005,0.873994,0.000924026,0.0
0.0540625,0.099063,0.005,0.875329,0.00090044,0.0
0.0546875,0.099063,0.005,0.876634,0.000875604,0.0
0.0553125,0.099063,0.005,0.877908,0.000849485,0.0
0.0559375,0.099063,0.005,0.879149,0.00082206,0.0
0.0565625,0.099063,0.005,0.880355,0.000793315,0.0
0.0571875,0.099063,0.005,0.881525,0.000763246,0.0
0.0578125,0.099063,0.005,0.882657,0.000731857,0.0
0.0584375,0.099063,0.005,0.883749,0.000699159,0.0
0.0590625,0.099063,0.005,0.884799,0.00066517,0.0
0.0596875,0.099063,0.005,0.885807,0.000629914,0.0
0.0603125,0.099063,0.005,0.886769,0.000593417,0.0
0.0609375,0.099063,0.005,0.887685,0.000555709,0.0
0.0615625,0.099063,0.005,0.888553,0.000516822,0.0
0.0621875,0.099063,0.005,0.889371,0.000476788,0.0
0.0628125,0.099063,0.005,0.890138,0.000435637,0.0
0.0634375,0.099063,0.005,0.890852,0.000393397,0.0
0.0640625,0.099063,0.005,0.891511,0.000350091,0.0
0.0646875,0.099063,0.005,0.892114,0.000305729,0.0
0.0653125,0.099063,0.005,0.89266,0.000260311,0.0
0.0659375,0.099063,0.005,0.893147,0.000213821,0.0
0.0665625,0.099063,0.005,0.893573,0.000166228,0.0
0.0671875,0.099063,0.005,0.893937,0.000117484,0.0
0.0678125,0.099063,0.005,0.894238,6.75183e-05,0.0
0.0684375,0.099063,0.005,0.894473,1.62549e-05,0.0
0.0690625,0.099063,0.005,0.894641,-3.64913e-05,0.0
0.0696875,0.099063,0.005,0.89474,-9.09081e-05,0.0
0.0703125,0.099063,0.005,0.894768,-0.000147015,0.0
0.0709375,0.099063,0.005,0.894721,-0.000205172,0.0
0.0715625,0.099063,0.005,0.894599,-0.000265695,0.0
0.0721875,0.099063,0.005,0.894397,-0.000328898,0.0
0.0728125,0.099063,0.005,0.894113,-0.000395155,0.0
0.0734375,0.099063,0.005,0.893742,-0.000464913,0.0
0.0740625,0.099063,0.005,0.89328,-0.000538686,0.0
0.0746875,0.099063,0.005,0.892721,-0.000617053,0.0
0.0753125,0.099063,0.005,0.892062,-0.000700658,0.0
0.0759375,0.099063,0.005,0.891294,-0.000790227,0.0
0.0765625,0.099063,0.005,0.89041,-0.000886575,0.0
0.0771875,0.099063,0.005,0.889402,-0.000990607,0.0
0.0778125,0.099063,0.005,0.888261,-0.00110332,0.0
0.0784375,0.099063,0.005,0.886975,-0.00122582,0.0
0.0790625,0.099063,0.005,0.885533,-0.00135929,0.0
0.0796875,0.099063,0.005,0.883921,-0.00150507,0.0
0.0803125,0.099063,0.005,0.882123,-0.00166462,0.0
0.0809375,0.099063,0.005,0.880123,-0.00183951,0.0
0.0815625,0.099063,0.005,0.877901,-0.00203148,0.0
0.0821875,0.099063,0.005,0.875436,-0.00224242,0.0
0.0828125,0.099063,0.005,0.872704,-0.00247444,0.0
0.0834375,0.099063,0.005,0.869678,-0.00272986,0.0
0.0840625,0.099063,0.005,0.866328,-0.00301124,0.0
0.0846875,0.099063,0.005,0.862623,-0.00332151,0.0
0.0853125,0.099063,0.005,0.858524,-0.003664,0.0
0.0859375,0.099063,0.005,0.85399,-0.00404256,0.0
0.0865625,0.099063,0.005,0.848975,-0.00446177,0.0
0.0871875,0.099063,0.005,0.843427,-0.0049272,0.0
0.0878125,0.099063,0.005,0.837284,-0.00544571,0.0
0.0884375,0.099063,0.005,0.830479,-0.00602602,0.0
0.0890625,0.099063,0.005,0.822929,-0.00667945,0.0
0.0896875,0.099063,0.005,0.814541,-0.00742105,0.0
0.0903125,0.099063,0.005,0.805197,-0.00827121,0.0
0.0909375,0.099063,0.005,0.794755,-0.00925821,0.0
0.0915625,0.099063,0.005,0.783035,-0.0104222,0.0
0.0921875,0.099063,0.005,0.769803,-0.0118211,0.0
0.0928125,0.099063,0.005,0.754749,-0.0135413,0.0
0.0934375,0.099063,0.005,0.737446,-0.0157149,0.0
0.0940625,0.099063,0.005,0.717285,-0.0185516,0.0
0.0946875,0.099063,0.005,0.69337,-0.0224003,0.0
0.0953125,0.099063,0.005,0.664311,-0.0278764,0.0
0.0959375,0.099063,0.005,0.627855,-0.0361487,0.0
0.0965625,0.099063,0.005,0.580169,-0.0496405,0.0
0.0971875,0.099063,0.005,0.514681,-0.0737739,0.0
0.0978125,0.099063,0.005,0.420837,-0.120716,0.0
0.0984375,0.099063,0.005,0.282411,-0.210398,0.0
0.0990625,0.099063,0.005,0.111413,-0.339539,0.0
0.0996875,0.099063,0.005,0.0491107,-0.351933,0.0
