-0.483343 	-0.00962286 	7.51164e-18 	0.459562 	-0.0441356 	0
-0.45001 	-0.0288686 	7.51164e-18 	0.513168 	-0.0595284 	0
-0.416676 	-0.0481144 	7.51164e-18 	0.550621 	-0.132752 	0
-0.383342 	-0.0673603 	7.51164e-18 	0.609332 	-0.184346 	0
-0.350008 	-0.0866062 	7.51164e-18 	0.638768 	-0.239849 	0
-0.316675 	-0.105852 	7.51164e-18 	0.673802 	-0.280683 	0
-0.283341 	-0.125098 	7.51164e-18 	0.691809 	-0.327598 	0
-0.250007 	-0.144344 	7.51164e-18 	0.715532 	-0.363816 	0
-0.216672 	-0.16359 	7.51164e-18 	0.746498 	-0.392042 	0
-0.183338 	-0.182836 	7.51164e-18 	0.781081 	-0.412589 	0
-0.150004 	-0.202082 	7.51164e-18 	0.817703 	-0.430641 	0
-0.11667 	-0.221328 	7.51164e-18 	0.858618 	-0.445745 	0
-0.0833357 	-0.240575 	7.51164e-18 	0.90813 	-0.462484 	0
-0.0500015 	-0.259821 	7.51164e-18 	0.975456 	-0.477843 	0
-0.0166672 	-0.279067 	7.51164e-18 	1.10025 	-0.47033 	0
