-0.45001 	-0.0288686 	0 	3.7239
-0.416676 	-0.0481144 	5.55112e-18 	3.71451
-0.383342 	-0.0673603 	5.55112e-18 	3.78176
-0.350008 	-0.0866062 	5.55112e-18 	3.86068
-0.316675 	-0.105852 	5.55112e-18 	3.94002
-0.283341 	-0.125098 	5.55112e-18 	4.01624
-0.250007 	-0.144344 	5.55112e-18 	4.08804
-0.216672 	-0.16359 	5.55112e-18 	4.15497
-0.183338 	-0.182836 	5.55112e-18 	4.21693
-0.150004 	-0.202082 	5.55112e-18 	4.274
-0.11667 	-0.221328 	5.55112e-18 	4.32637
-0.0833357 	-0.240575 	5.55112e-18 	4.37425
-0.0500015 	-0.259821 	5.55112e-18 	4.4178
-0.0166672 	-0.279067 	5.55112e-18 	4.45713
