-0.491677 	-0.00481142 	4.43943e-19 	3.83893
-0.491677 	-0.00481142 	0 	3.83893
-0.47501 	-0.0144343 	0 	4.28389
-0.458343 	-0.0240572 	0 	4.66121
-0.441676 	-0.03368 	0 	4.96341
-0.425009 	-0.0433029 	0 	5.20811
-0.408343 	-0.0529259 	0 	5.40947
-0.391676 	-0.0625488 	0 	5.57937
-0.375009 	-0.0721717 	0 	5.73254
-0.358342 	-0.0817947 	0 	5.89622
-0.341675 	-0.0914176 	0 	6.00193
-0.325008 	-0.101041 	0 	6.08344
-0.308341 	-0.110664 	0 	6.14733
-0.291674 	-0.120287 	0 	6.19791
-0.275007 	-0.12991 	0 	6.23627
-0.25834 	-0.139533 	0 	6.26459
-0.241673 	-0.149156 	0 	6.28507
-0.225006 	-0.158779 	0 	6.29962
-0.208339 	-0.168402 	0 	6.30989
-0.191672 	-0.178025 	0 	6.31692
-0.175005 	-0.187648 	0 	6.32105
-0.158338 	-0.197271 	0 	6.32258
-0.141671 	-0.206894 	0 	6.32204
-0.125004 	-0.216517 	0 	6.32013
-0.108336 	-0.22614 	0 	6.31756
-0.0916693 	-0.235763 	0 	6.31475
-0.0750022 	-0.245386 	0 	6.3119
-0.058335 	-0.255009 	0 	6.3091
-0.0416679 	-0.264632 	0 	6.30647
-0.0250007 	-0.274255 	0 	6.30414
-0.00833358 	-0.283878 	0 	6.30221
