x,y,z,U_x,U_y,U_z
0.0003125,0.099688,0.005,0.288648,0.143459,0.0
0.0009375,0.099688,0.005,0.374172,0.125303,0.0
0.0015625,0.099688,0.005,0.526419,0.0769122,0.0
0.0021875,0.099688,0.005,0.639989,0.0461929,0.0
0.0028125,0.099688,0.005,0.710108,0.0284423,0.0
0.0034375,0.099688,0.005,0.756194,0.0179748,0.0
0.0040625,0.099688,0.005,0.788816,0.0117811,0.0
0.0046875,0.099688,0.005,0.812831,0.0080913,0.0
0.0053125,0.099688,0.005,0.831092,0.00583497,0.0
0.0059375,0.099688,0.005,0.845437,0.00440006,0.0
0.0065625,0.099688,0.005,0.857028,0.00344712,0.0
0.0071875,0.099688,0.005,0.866614,0.00278652,0.0
0.0078125,0.099688,0.005,0.874692,0.00230998,0.0
0.0084375,0.099688,0.005,0.881608,0.00195398,0.0
0.0090625,0.099688,0.005,0.887607,0.00168008,0.0
0.0096875,0.099688,0.005,0.89287,0.00146414,0.0
0.0103125,0.099688,0.005,0.897533,0.00129042,0.0
0.0109375,0.099688,0.005,0.901698,0.0011483,0.0
0.0115625,0.099688,0.005,0.905447,0.00103036,0.0
0.0121875,0.099688,0.005,0.908844,0.000931284,0.0
0.0128125,0.099688,0.005,0.911939,0.000847167,0.0
0.0134375,0.099688,0.005,0.914775,0.000775079,0.0
0.0140625,0.099688,0.005,0.917386,0.000712784,0.0
0.0146875,0.099688,0.005,0.919801,0.000658549,0.0
0.0153125,0.099688,0.005,0.922043,0.000611014,0.0
0.0159375,0.099688,0.005,0.924131,0.000569099,0.0
0.0165625,0.099688,0.005,0.926084,0.000531939,0.0
0.0171875,0.099688,0.005,0.927916,0.000498829,0.0
0.0178125,0.099688,0.005,0.929638,0.000469196,0.0
0.0184375,0.099688,0.005,0.931263,0.000442566,0.0
0.0190625,0.099688,0.005,0.932799,0.000418546,0.0
0.0196875,0.099688,0.005,0.934255,0.000396808,0.0
0.0203125,0.099688,0.005,0.935638,0.000377073,0.0
0.0209375,0.099688,0.005,0.936955,0.000359108,0.0
0.0215625,0.099688,0.005,0.938211,0.000342713,0.0
