-0.45001 	-0.0288686 	0 	8.24977
-0.416676 	-0.0481144 	5.55112e-18 	9.52758
-0.383342 	-0.0673603 	5.55112e-18 	10.5762
-0.350008 	-0.0866062 	5.55112e-18 	11.5016
-0.316675 	-0.105852 	5.55112e-18 	12.39
-0.283341 	-0.125098 	5.55112e-18 	13.4405
-0.250007 	-0.144344 	5.55112e-18 	14.2112
-0.216672 	-0.16359 	5.55112e-18 	14.8991
-0.183338 	-0.182836 	5.55112e-18 	15.5243
-0.150004 	-0.202082 	5.55112e-18 	16.1124
-0.11667 	-0.221328 	5.55112e-18 	16.6937
-0.0833357 	-0.240575 	5.55112e-18 	17.2504
-0.0500015 	-0.259821 	5.55112e-18 	17.866
-0.0166672 	-0.279067 	5.55112e-18 	17.1103
