-0.483343 	-0.00962286 	7.51164e-18 	3.15289
-0.45001 	-0.0288686 	7.51164e-18 	3.01096
-0.416676 	-0.0481144 	7.51164e-18 	2.90103
-0.383342 	-0.0673603 	7.51164e-18 	2.70004
-0.350008 	-0.0866062 	7.51164e-18 	2.51144
-0.316675 	-0.105852 	7.51164e-18 	2.3619
-0.283341 	-0.125098 	7.51164e-18 	2.31008
-0.250007 	-0.144344 	7.51164e-18 	2.2951
-0.216672 	-0.16359 	7.51164e-18 	2.37041
-0.183338 	-0.182836 	7.51164e-18 	2.44667
-0.150004 	-0.202082 	7.51164e-18 	2.46786
-0.11667 	-0.221328 	7.51164e-18 	2.47366
-0.0833357 	-0.240575 	7.51164e-18 	2.46646
-0.0500015 	-0.259821 	7.51164e-18 	2.43299
-0.0166672 	-0.279067 	7.51164e-18 	2.32603
