0.45001 	0.0288686 	1.2413e-17 	0.496702
0.416676 	0.0481144 	1.2413e-17 	0.482747
0.383342 	0.0673603 	1.2413e-17 	0.455109
0.350008 	0.0866062 	1.2413e-17 	0.417099
0.316675 	0.105852 	1.2413e-17 	0.387689
0.283341 	0.125098 	1.2413e-17 	0.360773
0.250007 	0.144344 	1.2413e-17 	0.327519
0.216672 	0.16359 	1.2413e-17 	0.263557
0.183338 	0.182836 	1.2413e-17 	0.201033
0.150004 	0.202082 	1.2413e-17 	0.154316
0.11667 	0.221328 	1.2413e-17 	0.200519
0.0833357 	0.240575 	1.2413e-17 	0.416864
0.0500015 	0.259821 	1.2413e-17 	0.783529
0.0166672 	0.279067 	1.2413e-17 	1.52576
