-0.483343 	-0.00962286 	7.51164e-18 	4.22214
-0.45001 	-0.0288686 	7.51164e-18 	4.4548
-0.416676 	-0.0481144 	7.51164e-18 	4.48373
-0.383342 	-0.0673603 	7.51164e-18 	4.50526
-0.350008 	-0.0866062 	7.51164e-18 	4.48103
-0.316675 	-0.105852 	7.51164e-18 	4.44391
-0.283341 	-0.125098 	7.51164e-18 	4.34544
-0.250007 	-0.144344 	7.51164e-18 	4.24594
-0.216672 	-0.16359 	7.51164e-18 	4.13891
-0.183338 	-0.182836 	7.51164e-18 	4.03281
-0.150004 	-0.202082 	7.51164e-18 	3.9227
-0.11667 	-0.221328 	7.51164e-18 	3.80129
-0.0833357 	-0.240575 	7.51164e-18 	3.65236
-0.0500015 	-0.259821 	7.51164e-18 	3.44257
-0.0166672 	-0.279067 	7.51164e-18 	3.14334
