-0.495843 	-0.00240571 	0 	2.06846 	-0.179428 	0
-0.48751 	-0.00721713 	0 	2.0529 	-0.33546 	0
-0.479177 	-0.0120286 	0 	2.02908 	-0.45313 	0
-0.470843 	-0.01684 	0 	2.0028 	-0.548698 	0
-0.46251 	-0.0216514 	0 	1.97702 	-0.627549 	0
-0.454176 	-0.0264629 	0 	1.95309 	-0.693477 	0
-0.445843 	-0.0312743 	0 	1.93142 	-0.749314 	0
-0.43751 	-0.0360858 	0 	1.91191 	-0.796615 	0
-0.429176 	-0.0408972 	0 	1.89435 	-0.83635 	0
-0.420843 	-0.0457087 	0 	1.87856 	-0.86933 	0
-0.412509 	-0.0505201 	0 	1.86447 	-0.896542 	0
-0.404176 	-0.0553316 	0 	1.85213 	-0.919468 	0
-0.395842 	-0.0601431 	0 	1.84154 	-0.939218 	0
-0.387509 	-0.0649545 	0 	1.83249 	-0.956312 	0
-0.379176 	-0.069766 	0 	1.82423 	-0.96958 	0
-0.370842 	-0.0745775 	0 	1.81659 	-0.979506 	0
-0.362509 	-0.0793889 	0 	1.80973 	-0.987408 	0
-0.354175 	-0.0842004 	0 	1.8037 	-0.993996 	0
-0.345842 	-0.0890119 	0 	1.7985 	-0.999625 	0
-0.337508 	-0.0938234 	0 	1.7941 	-1.00452 	0
-0.329175 	-0.0986349 	0 	1.7904 	-1.00874 	0
-0.320841 	-0.103446 	0 	1.78729 	-1.01229 	0
-0.312508 	-0.108258 	0 	1.78468 	-1.01521 	0
-0.304174 	-0.113069 	0 	1.78246 	-1.01752 	0
-0.295841 	-0.117881 	0 	1.78055 	-1.01925 	0
-0.287507 	-0.122692 	0 	1.77889 	-1.02048 	0
-0.279174 	-0.127504 	0 	1.77743 	-1.02132 	0
-0.27084 	-0.132315 	0 	1.77615 	-1.02187 	0
-0.262507 	-0.137127 	0 	1.77505 	-1.02222 	0
-0.254173 	-0.141938 	0 	1.7741 	-1.02244 	0
-0.24584 	-0.14675 	0 	1.7733 	-1.02258 	0
-0.237506 	-0.151561 	0 	1.7726 	-1.02262 	0
-0.229173 	-0.156373 	0 	1.77199 	-1.02259 	0
-0.220839 	-0.161184 	0 	1.77143 	-1.0225 	0
-0.212506 	-0.165996 	0 	1.77093 	-1.02235 	0
-0.204172 	-0.170807 	0 	1.77048 	-1.02219 	0
-0.195839 	-0.175619 	0 	1.77008 	-1.02202 	0
-0.187505 	-0.18043 	0 	1.76971 	-1.02184 	0
-0.179172 	-0.185242 	0 	1.76937 	-1.02167 	0
-0.170838 	-0.190054 	0 	1.76906 	-1.02149 	0
-0.162504 	-0.194865 	0 	1.76877 	-1.02132 	0
-0.154171 	-0.199677 	0 	1.76849 	-1.02115 	0
-0.145837 	-0.204488 	0 	1.76823 	-1.02099 	0
-0.137504 	-0.2093 	0 	1.76798 	-1.02084 	0
-0.12917 	-0.214111 	0 	1.76775 	-1.02069 	0
-0.120837 	-0.218923 	0 	1.76752 	-1.02055 	0
-0.112503 	-0.223734 	0 	1.76731 	-1.02042 	0
-0.10417 	-0.228546 	0 	1.7671 	-1.0203 	0
-0.0958361 	-0.233357 	0 	1.7669 	-1.02018 	0
-0.0875025 	-0.238169 	0 	1.7667 	-1.02007 	0
-0.0791689 	-0.24298 	0 	1.76651 	-1.01996 	0
-0.0708354 	-0.247792 	0 	1.76633 	-1.01986 	0
-0.0625018 	-0.252603 	0 	1.76616 	-1.01976 	0
-0.0541682 	-0.257415 	0 	1.76598 	-1.01967 	0
-0.0458347 	-0.262227 	0 	1.76582 	-1.01958 	0
-0.0375011 	-0.267038 	0 	1.76565 	-1.01949 	0
-0.0291675 	-0.27185 	0 	1.76549 	-1.0194 	0
-0.0208339 	-0.276661 	0 	1.76534 	-1.01932 	0
-0.0125004 	-0.281473 	0 	1.76518 	-1.01924 	0
-0.00416679 	-0.286284 	0 	1.76503 	-1.01916 	0
